qtr,down,time,TimeUnder,TimeSecs,yrdline100,ydstogo,GoalToGo,FirstDown,DefensiveTeam,Yards.Gained,Touchdown,ExPointResult,TwoPointConv,play_type,PassAttempt,PassOutcome,PassLength,QBHit,PassLocation,InterceptionThrown,RushAttempt,RunLocation,RunGap,FieldGoalResult,FieldGoalDistance,Fumble,RecFumbTeam,Sack,ScoreDiff,AbsScoreDiff,HomeTeam,AwayTeam,posteam_timeouts_pre,HomeTimeouts_Remaining_Pre,AwayTimeouts_Remaining_Pre,Season,TimeSecs_Remaining,Under_TwoMinute_Warning,no_score_prob,opp_fg_prob,opp_safety_prob,opp_td_prob,fg_prob,safety_prob,td_prob,extra_point_prob,two_point_conversion_prob,ep,epa
1,1,14:52:00,15,3592,49,10,0,0,BUF,0,0,NA,NA,Pass,1,Incomplete Pass,Short,0,right,0,0,NA,NA,NA,NA,0,NA,0,0,0,NE,BUF,3,3,3,2009,1792,0,4.041363472231708e-4,0.3243642538539955,0.08240238572564336,4.3888840465141195e-4,0.12748497901022277,0.0037984896660005255,0.46110686699226333,0,0,2.4768302334626795,-0.37194735479880636
1,2,14:47:00,15,3587,49,10,0,0,BUF,3,0,NA,NA,Run,0,NA,NA,0,NA,0,1,right,end,NA,NA,0,NA,0,0,0,NE,BUF,3,3,3,2009,1787,0,4.471964877141208e-4,0.3359037011599642,0.09841969281059458,7.664868787470536e-4,0.15372592602767074,0.00430759572279875,0.4064294009125106,0,0,2.104882878663873,-0.44080203704773435
1,3,14:03:00,15,3543,46,7,0,0,BUF,6,0,NA,NA,Pass,1,Complete,Short,1,middle,0,0,NA,NA,NA,NA,0,NA,0,0,0,NE,BUF,3,3,3,2009,1743,0,5.383684661243741e-4,0.3612952319990031,0.11073242835972028,8.558199651772593e-4,0.17142425015264834,0.00498558475408048,0.35016831630324624,0,0,1.6640808416161388,-0.3115930178984123
1,4,13:39:00,14,3519,40,1,0,1,BUF,0,0,NA,NA,Run,0,NA,NA,0,NA,0,1,left,tackle,NA,NA,0,NA,0,0,0,NE,BUF,3,3,3,2009,1719,0,7.165033217230037e-4,0.36336629014603705,0.12912664808454202,0.001125144086888849,0.19945505317312806,0.006624337780001338,0.29958602340767954,0,0,1.3524878237177265,-3.663347655548489
1,1,12:14:00,13,3434,83,10,0,1,BUF,11,0,NA,NA,Run,0,NA,NA,0,NA,0,1,middle,NA,NA,NA,0,NA,0,0,0,NE,BUF,3,3,3,2009,1634,0,0.0016927627014428472,0.2135680680529691,0.1894253087057965,0.008060711705523912,0.2838205887959425,0.003726509350420801,0.29970605068790435,0,0,1.8808773363948321,0.1974164553654878
1,1,11:38:00,12,3398,72,10,0,0,BUF,2,0,NA,NA,Pass,1,Complete,Short,0,middle,0,0,NA,NA,NA,NA,0,NA,0,0,0,NE,BUF,3,3,3,2009,1598,0,0.001584976283524028,0.25778825332921035,0.15214989196536585,0.0032024933228747246,0.22494626166526363,0.003751972018663033,0.35657615141509846,0,0,2.07829379176032,-0.13080673322965541
1,2,11:38:00,12,3398,70,8,0,0,BUF,0,0,NA,NA,No Play,0,NA,NA,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,0,NE,BUF,3,3,3,2009,1598,0,0.0015952158719975418,0.2468827024022804,0.1680001027710364,0.0035785789652297687,0.24742565684607679,0.004143149701139442,0.3283745934422397,0,0,1.9474870585306645,-0.21954074104274923
1,2,10:38:00,11,3338,75,13,0,0,BUF,0,0,NA,NA,Pass,1,Incomplete Pass,Short,0,right,0,0,NA,NA,NA,NA,0,NA,0,0,0,NE,BUF,3,3,3,2009,1538,0,0.0022275101253291353,0.22747644616076595,0.1941300468532011,0.005429004310660056,0.2844421936296234,0.004150278696115244,0.28214452022430503,0,0,1.7279463174879153,-0.15744601886017806
1,3,10:34:00,11,3334,75,13,0,1,BUF,20,0,NA,NA,Pass,1,Complete,Deep,0,left,0,0,NA,NA,NA,NA,0,NA,0,0,0,NE,BUF,3,3,3,2009,1534,0,0.0022421136637280448,0.18334708925374413,0.23506286408662327,0.006109179479938011,0.33876127878642937,0.004838921708853325,0.22963855302068392,0,0,1.5705002986277372,0.7028130102617869
1,1,09:51:00,10,3291,55,10,0,1,BUF,0,0,NA,NA,No Play,1,Incomplete Pass,Short,0,left,0,0,NA,NA,NA,NA,0,NA,0,0,0,NE,BUF,3,3,3,2009,1491,0,0.0016316630795350073,0.3206910572009214,0.10069240466237003,7.008832420635191e-4,0.1438034390885158,0.003419342768046749,0.4290612099585474,0,0,2.273313308889524,0.04944677840810208
1,1,09:41:00,10,3281,50,10,0,0,BUF,8,0,NA,NA,Run,0,NA,NA,0,NA,0,1,left,guard,NA,NA,0,NA,0,0,0,NE,BUF,3,3,3,2009,1481,0,0.0014840714596549179,0.3357228879536355,0.08761406432569714,4.438767384712036e-4,0.12458420211551423,0.0033089742433013657,0.4468419231637257,0,0,2.322760087297626,0.21111155070058185
1,2,09:01:00,10,3241,42,2,0,0,BUF,0,0,NA,NA,Pass,1,Incomplete Pass,Short,1,right,0,0,NA,NA,NA,NA,0,NA,0,0,0,NE,BUF,3,3,3,2009,1441,0,0.0014495532276021553,0.3436901704071246,0.06912636653106613,2.9460125947810466e-4,0.09460173325833843,0.002882227178337609,0.4879553481380529,0,0,2.533871637998208,-0.48378845668692527
1,3,08:59:00,9,3239,42,2,0,1,BUF,10,0,NA,NA,Run,0,NA,NA,0,NA,0,1,middle,NA,NA,NA,0,NA,0,0,0,NE,BUF,3,3,3,2009,1439,0,0.0015973123889437705,0.365099001691625,0.08673829549450279,5.281146318107061e-4,0.12089870078318003,0.0032225095242532503,0.42191606548568455,0,0,2.0500831813112828,0.37507763729846166
1,1,08:24:00,9,3204,32,10,0,0,BUF,5,0,NA,NA,Run,0,NA,NA,0,NA,0,1,right,guard,NA,NA,0,NA,0,0,0,NE,BUF,3,3,3,2009,1404,0,0.0011938883222625562,0.38097718704764333,0.05102432999510749,8.116116039214728e-5,0.07063804052903855,0.002760540868074476,0.49332485207748145,0,0,2.4251608186097444,-0.30741349975285814
